id,category,avg_rating,n_loved,n_sold,name,price,rate_1,rate_2,rate_3,rate_4,rate_5,rate_with_cmt,rate_with_imgvid,shop_age,shop_follower,shop_n_product,shop_n_review,shop_name,shop_rate_feedback,shop_time_feedback
0,Điện thoại,5.0,1,9,"☎️ Huawei ETS 3125i Máy Điện Thoại Bàn Dùng Sim Di Động, GPhone, HomePhone.",389000,0,0,0,0,4,1,1,16,81,151,199,gigaone,100,trong vài giờ
1,Điện thoại,4.9,47,19,Điện thoại Vsmart Active 3 (6GB/64GB) - Chính Hãng Vsmart - Bảo Hành 18 Tháng Toàn Quốc,3450000,0,0,0,1,8,4,0,24,49,28,45,minhhoangmobilehp,7,trong vài giờ
2,Điện thoại,4.9,40,21,điện thoại leeco x526 chip snapdrgon 652 android 10 chơi liên quân mượt,900000,0,0,0,1,8,7,4,55,36,22,38,haidaika1209,92,trong vài giờ
3,Điện thoại,5.0,2,19,[Mã 11ELSALE hoàn 7% đơn 300K] màn hình VIVO V5 - V5S-1601-Y67 - 1713,380000,0,0,0,0,7,3,1,22,822,2700,3300,trinhthanhhoa96,79,trong vài giờ
4,Điện thoại,5.0,30,1100,Điện Thoại BMV Sang Trọng Đẳng Cấp BH 24 tháng - OHNO,1200000,0,0,0,0,2,1,0,60,1700,289,367,mapalan,57,trong vài ngày
5,Điện thoại,4.5,357,99,"ĐIỆN THOẠI NOKIA 1202 ZIN CHƯA PIN, SẠC",147500,1,1,1,3,18,10,7,37,1500,170,1200,elinhkien,91,trong vài giờ
6,Điện thoại,4.2,26,1900,"điện thoại Motorola Z Force ram 4G bộ nhớ 32G mới Chính Hãng, Chiến PUBG/Free Fire mướt",1999000,1,0,0,0,4,4,3,37,11900,715,10800,smartphonegiasi,77,trong vài giờ
7,Điện thoại,4.9,5400,70,"Điện Thoại Kechaoda K110, phone game S31 Chơi GAME Loa To Pin Trâu Đèn Pin Siêu Sáng - chính hãng",489900,0,0,0,1,13,5,4,40,22100,692,3900,storevn678,39,trong vài giờ
8,Điện thoại,5.0,2200,211,Điện thoại Lg V30 plus 128gb Mới chính hãng nhập khẩu,3074500,0,0,0,0,5,4,3,48,26100,278,2500,thinhphat_mobile,1,trong vài ngày
9,Điện thoại,4.9,50,48,Điện thoại OPPO A53 (2020) - Hàng Chính Hãng mới 100%,4490000,0,0,0,1,17,9,4,18,24700,129,3800,dientuthuychi,38,trong vài giờ
