category,avg_rating,n_loved,n_reviews,n_sold,name,price,rate_1,rate_2,rate_3,rate_4,rate_5,rate_with_cmt,rate_with_imgvid,shop_age,shop_follower,shop_n_product,shop_n_review,shop_name,shop_rate_feedback,shop_time_feedback
Điện thoại,5.0,Đã thích (9),5.0,282,"điện thoại Chính Hãng Oppo A31 2020 2sim Ram 6G rom 128G mới, Màn hình 6.5inch, Học On cực Chất",₫2.997.000 - ₫3.097.000,,,,,,,,5 năm trước,"27,5k",617,"8,5k",baongocstore2016,82%,trong vài giờ
Điện thoại,4.2,Đã thích (46),4.2,"1,8k","Điện thoại LG G8X ThinQ  ram 6G/128G zin mới CHÍNH HÃNG, Chiến Game Nặng mướt, Camera nét",₫2.429.000 - ₫3.588.000,,,,,,,,5 năm trước,"27,5k",617,"8,5k",baongocstore2016,82%,trong vài giờ
Điện thoại,4.1,Đã thích (82),4.1,"2,7k","điện thoại Xiaomi Note 5 Pro - Xiaomi Redmi Note 5 Pro 2sim Ram 4G/64G 2sim mới Chính hãng, Chiến PUBG/Free Fire mượt",₫1.399.000 - ₫2.197.000,,,,,,,,5 năm trước,"27,5k",617,"8,5k",baongocstore2016,82%,trong vài giờ
Điện thoại,4.6,"Đã thích (3,6k)",4.6,"1,8k",[Mã 11ELSALE hoàn 7% đơn 300K] điện thoại LG V50 ThinQ ram 6G/128G mới Chính Hãng mới zin,₫3.198.000 - ₫3.979.000,,,,,,,,5 năm trước,"27,5k",617,"8,5k",baongocstore2016,82%,trong vài giờ
Điện thoại,5.0,Đã thích (1),5.0,9,"☎️ Huawei ETS 3125i Máy Điện Thoại Bàn Dùng Sim Di Động, GPhone, HomePhone.",₫389.000,1 Sao (0),2 Sao (0),3 Sao (0),4 Sao (0),5 Sao (4),Có Bình luận (1),Có hình ảnh / video (1),16 tháng trước,81,151,199,gigaone,100%,trong vài giờ
Điện thoại,4.9,Đã thích (47),4.9,19,Điện thoại Vsmart Active 3 (6GB/64GB) - Chính Hãng Vsmart - Bảo Hành 18 Tháng Toàn Quốc,₫3.450.000,1 Sao (0),2 Sao (0),3 Sao (0),4 Sao (1),5 Sao (8),Có Bình luận (4),Có hình ảnh / video (0),24 tháng trước,49,28,45,minhhoangmobilehp,7%,trong vài giờ
Điện thoại,4.9,Đã thích (40),4.9,21,điện thoại leeco x526 chip snapdrgon 652 android 10 chơi liên quân mượt,₫900.000,1 Sao (0),2 Sao (0),3 Sao (0),4 Sao (1),5 Sao (8),Có Bình luận (7),Có hình ảnh / video (4),5 năm trước,36,22,38,haidaika1209,92%,trong vài giờ
Điện thoại,5.0,Đã thích (2),5.0,19,[Mã 11ELSALE hoàn 7% đơn 300K] màn hình VIVO V5 - V5S-1601-Y67 - 1713,₫380.000,1 Sao (0),2 Sao (0),3 Sao (0),4 Sao (0),5 Sao (7),Có Bình luận (3),Có hình ảnh / video (1),22 tháng trước,822,"2,7k","3,3k",trinhthanhhoa96,79%,trong vài giờ
Điện thoại,5.0,Đã thích (223),5.0,111,"điện thoại Oppo F5 2sim ram 4G/64G mới Chính Hãng, chơi Game mượt",₫1.900.000,,,,,,,,4 năm trước,"3,7k",23,299,baophatsmartphone417,91%,trong vài giờ
Điện thoại,5.0,Đã thích (30),5.0,"1,1k",Điện Thoại BMV Sang Trọng Đẳng Cấp BH 24 tháng - OHNO,₫1.200.000,1 Sao (0),2 Sao (0),3 Sao (0),4 Sao (0),5 Sao (2),Có Bình luận (1),Có hình ảnh / video (0),5 năm trước,"1,7k",289,367,mapalan,57%,trong vài ngày
