category,avg_rating,n_loved,n_reviews,n_sold,name,price,rate_1,rate_2,rate_3,rate_4,rate_5,rate_with_cmt,rate_with_imgvid,shop_age,shop_follower,shop_n_product,shop_n_review,shop_name,shop_rate_feedback,shop_time_feedback
Điện thoại bàn,5.0,Đã thích (13),5.0,22,Điện Thoại Bàn Không Dây Lắp Sim GPhone HomePhone Viettel Vina Mobifone Chính Hãng Huawei,₫378.000 - ₫599.000,,,,,,,,,,,,,,
Điện thoại bàn,,,,0,"Thước đo góc điện tử màn hình LCD
",₫176.000 - ₫181.000,,,,,,,,32 tháng trước,124,"4,1k",449,kokiya1.vn,100%,trong vài giờ
Điện thoại bàn,,,,0,"Giá đỡ chuyển đổi R094 đa năng cho máy ảnh DSLR
",₫448.000,,,,,,,,17 tháng trước,204,"3,7k",318,lzdjlmy1.vn,100%,trong vài giờ
Điện thoại bàn,,,,0,✩ Đầu Kết Nối Bnc Đầu Đực Sang Đầu Cái SMA ❊,₫150.000,,,,,,,,8 tháng trước,3,397,0,humait_market.vn,57%,trong vài giờ
Điện thoại bàn,,,,0,"Thiết bị báo động nồng độ CO độ nhạy cao cho nhà ở
",₫281.000,,,,,,,,32 tháng trước,349,"4,2k",507,kokiya2.vn,98%,trong vài giờ
Điện thoại bàn,,,,0,"Thước đo kỹ thuật số mini cho máy khoan gỗ
",₫171.000 - ₫176.000,,,,,,,,14 tháng trước,181,"3,8k",241,dadada1.vn,100%,trong vài giờ
Điện thoại bàn,,,,0,"Máy dò điện từ K2 EMF chuyên dụng
",₫433.000,,,,,,,,33 tháng trước,"1,4k","4,7k","2,3k",blesiya1.vn,100%,trong vài giờ
Điện thoại bàn,,,,0,"Đồng hồ đo công suất điện đa năng độ chính xác cao
",₫173.000 - ₫199.000,,,,,,,,17 tháng trước,463,"4,2k",392,lzdxwcke2.vn,100%,trong vài giờ
Điện thoại bàn,,,,0,"Máy đo nhiệt độ phòng khách chuyên nghiệp dễ lắp đặt
",₫240.000,,,,,,,,32 tháng trước,1k,"4,5k","1,6k",kokiya.vn,100%,trong vài giờ
Điện thoại bàn,,,,0,"Thước đo kỹ thuật số mini cho máy khoan gỗ
",₫173.000 - ₫178.000,,,,,,,,32 tháng trước,"2,5k","4,3k",2k,dynwave2.vn,100%,trong vài giờ
Điện thoại bàn,,,,0,"Thiết bị đo công suất điện ổ cắm EU
",₫183.000,,,,,,,,21 tháng trước,36,"4,9k",112,figatia1.vn,100%,trong vài giờ
Điện thoại bàn,,Đã thích (2),,0,"Bút cắm bàn thông minh 2 màu xanh, đen",₫18.000,,,,,,,,4 năm trước,775,73,358,vanphongphamkhanhhoa,98%,trong vài phút
Điện thoại bàn,,Đã thích (1),,0,Kệ đế đứng máy Nintendo Switch,₫120.000,,,,,,,,24 tháng trước,9,62,38,bocuacuong,45%,trong vài giờ
Điện thoại bàn,,,,0,Điện thoại VoIP Yealink SIP-T30,₫1.100.000,,,,,,,,31 tháng trước,7,41,1,zanitel,75%,trong vài giờ
Điện thoại bàn,,,,,,,,,,,,,,,,,,,,
