category,avg_rating,n_loved,n_reviews,n_sold,name,price,rate_1,rate_2,rate_3,rate_4,rate_5,rate_with_cmt,rate_with_imgvid,shop_age,shop_follower,shop_n_product,shop_n_review,shop_name,shop_rate_feedback,shop_time_feedback
Đồng hồ,,,,,,,,,,,,,,,,,,,,
Đồng hồ,,,,,,,,,,,,,,,,,,,,
Đồng hồ,,,,,,,,,,,,,,,,,,,,
Đồng hồ,,,,,,,,,,,,,,,,,,,,
Đồng hồ,4.6,Đã thích (44),4.6,251,Dây da Apple Watch bản nhỏ dành cho nữ sz 38/40 42/44mm,₫119.000,,,,,,,,4 năm trước,"22,3k","2,1k",36k,linhkieniphone,78%,trong vài giờ
Đồng hồ,,,,,,,,,,,,,,,,,,,,
Đồng hồ,,,,,,,,,,,,,,,,,,,,
Đồng hồ,,,,,,,,,,,,,,,,,,,,
Đồng hồ,4.8,Đã thích (52),4.8,585,Dây đeo bằng silicone nhiều màu cho đồng hồ thông minh Xiaomi Mi Band 3 4 ( 20 màu tùy chọn ),₫17.000,,,,,,,,31 tháng trước,"20,4k",729,"25,8k",aaigea1.vn,95%,trong vài giờ
Đồng hồ,4.9,Đã thích (32),4.9,276,Dây da đồng hồ họa tiết màu độc đáo cá tính cho Apple Watch  Series 1 2 3 4 5 6 SE 38mm 40mm 42mm 44mm Series 7 41mm 45mm,₫55.000,1 Sao (2),2 Sao (0),3 Sao (1),4 Sao (2),5 Sao (84),Có Bình luận (29),Có hình ảnh / video (28),31 tháng trước,"20,4k",729,"25,8k",aaigea1.vn,95%,trong vài giờ
Đồng hồ,,,,,,,,,,,,,,,,,,,,
Đồng hồ,5.0,Đã thích (9),5.0,141,hàng chọn live,₫320.000,,,,,,,,4 năm trước,"9,5k",172,"2,5k",shop_nguyen_yen,57%,trong vài giờ
Đồng hồ,5.0,Đã thích (92),5.0,844,"Pin Li-Po 3.7V 103450 103550 2000mAh (Lithium Polyme) cho điện thoại, Bộ đàm, Định vị GPS, Camera hành trình,cân điện tử",₫45.000 - ₫65.000,,,,,,,,4 năm trước,"2,2k",518,"12,9k",handphonevn,95%,trong vài giờ
Đồng hồ,5.0,Đã thích (59),5.0,190,Dây Đeo Nylon Dáng Vuông Cho Đồng Hồ Thông Minh Apple Watch Series 7 6 SE 5 4 3 2 1 Iwatch 45mm 41mm 40mm 44mm 38mm 42mm,₫127.200,,,,,,,,,,,,,,
Đồng hồ,4.9,Đã thích (26),4.9,458,"[Sport Loop] Dây vải dù Nylon Apple Watch seri 1/2/3/4/5/6/7, T500, W26, HW22 Pro - Chống thấm nước - Size 38/40/42/44mm",₫34.650,,,,,,,,18 tháng trước,"1,4k",48,979,phukien167,96%,trong vài giờ
Đồng hồ,5.0,Đã thích (563),5.0,66,Đế sạc Apple Watch dạng treo sạc kiêm giá đỡ hợp kim nhôm cho đồng hồ thông minh.,₫170.408 - ₫189.448,,,,,,,,23 tháng trước,"6,1k",95,303,next_stores,80%,trong vài giờ
Đồng hồ,4.9,Đã thích (10),4.9,127,Khung Hợp Kim Nhôm Bảo Vệ Cho Đồng Hồ Thông Minh Apple Watch 5 4 44mm 40mm,₫117.600,,,,,,,,3 năm trước,"1,7k",265,"2,7k",smartzone.vn,89%,trong vài giờ
Đồng hồ,4.9,Đã thích (20),4.9,50,Dây Đeo Silicon Mềm Cho Apple Watch Series 7 6 SE 5 4 3 2 1 45mm 41mm  38mm 40mm 42mm 44mm Wist T500 Ft50 T5 W26 Q520 Q99,₫49.300,1 Sao (0),2 Sao (1),3 Sao (0),4 Sao (0),5 Sao (23),Có Bình luận (13),Có hình ảnh / video (10),29 tháng trước,"35,1k",918,"82,9k",mycover.vn,86%,trong vài giờ
Đồng hồ,4.5,Đã thích (5),4.5,100,"Dán tròn đa năng PPF dành cho các loại đồng hồ đường kính từ 36,37,38,39,40 mm",₫19.000,1 Sao (2),2 Sao (0),3 Sao (0),4 Sao (2),5 Sao (16),Có Bình luận (8),Có hình ảnh / video (6),4 năm trước,"13,6k","4,8k","21,3k",phamchinhgia,100%,trong vài giờ
Đồng hồ,5.0,Đã thích (7),5.0,54,Dây Đeo Inox Milanese 20mm Cho Đồng Hồ Thông Minh Xiaomi Huami Amazfit Bip Lite S / Bip U / Gts 2 Mini / Amiluou Ls02,₫33.320 - ₫78.540,,,,,,,,29 tháng trước,"1,7k",984,"13,7k",jianchuang1.vn,22%,trong vài giờ
Đồng hồ,4.7,Đã thích (2),4.7,84,Kính Cường Lực Cong 3d 38-44mm Bảo Vệ Màn Hình Cho Apple Iwatch Series 4 3 2 1 9,₫9.930,1 Sao (1),2 Sao (0),3 Sao (0),4 Sao (1),5 Sao (17),Có Bình luận (7),Có hình ảnh / video (6),25 tháng trước,"9,8k","1,3k","16,9k",sunsinebest.vn,73%,trong vài giờ
