category,avg_rating,n_loved,n_reviews,n_sold,name,price,rate_1,rate_2,rate_3,rate_4,rate_5,rate_with_cmt,rate_with_imgvid,shop_age,shop_follower,shop_n_product,shop_n_review,shop_name,shop_rate_feedback,shop_time_feedback
Linh kiện,,,,,,,,,,,,,,,,,,,,
Linh kiện,,,,,,,,,,,,,,,,,,,,
Linh kiện,4.8,Đã thích (6),4.8,570,Cọ mini dùng vệ sinh làm sạch tiện lợi cho bàn phím máy tính/các khe nhỏ,₫3.500,,,,,,,,33 tháng trước,"3,3k","4,9k","11,6k",koreachic.vn,34%,trong vài giờ
Linh kiện,5.0,Đã thích (3),5.0,69,Bộ 50 Linh Kiện Điện Tử MAC97A8 97A8 TO-92 6A 600V Hàng Mới Chính Hãng,₫24.233,1 Sao (0),2 Sao (0),3 Sao (0),4 Sao (1),5 Sao (25),Có Bình luận (5),Có hình ảnh / video (6),13 tháng trước,847,"3,9k","5,4k",sydz568.vn,99%,trong vài phút
Linh kiện,4.8,Đã thích (70),4.8,116,Cánh tay dài 23cm Giá đỡ kẹp bàn màn hình máy tính XL03 17- 27 - 32inch ( tâm lỗ 10x10cm ) tiết kiệm 200k so với NB F80,₫290.000,,,,,,,,3 năm trước,182,59,"1,3k",dientu_bachduong,71%,trong vài giờ
Linh kiện,5.0,Đã thích (366),5.0,112,Ram laptop DDR3 DDR3L 2GB 4GB 8GB 16GB Samsung / Hynix / Kingston ... Hàng chính hãng,₫99.000,1 Sao (0),2 Sao (0),3 Sao (0),4 Sao (1),5 Sao (24),Có Bình luận (10),Có hình ảnh / video (5),4 năm trước,"60,1k",254,"2,9k",sanhangngoai.com,66%,trong vài giờ
Linh kiện,5.0,"Đã thích (8,4k)",5.0,64,Mainboard Huananzhi X79 4D X79 8D Dual CPU Xeon E5 2650v2 16 nhân 32 luồng ~i9 9900k siêu khủng  bảo hành đổi mới 100%,₫3.250.000 - ₫4.950.000,1 Sao (0),2 Sao (0),3 Sao (0),4 Sao (0),5 Sao (26),Có Bình luận (11),Có hình ảnh / video (6),4 năm trước,"11,3k",89,837,thstore.com.vn,91%,trong vài giờ
Linh kiện,4.9,Đã thích (21),4.9,170,4000W SCR Bộ điều chỉnh điện áp điện tử Bảng điều khiển tốc độ Thống đốc Dimmer Mô-đun công suất cao AC 220V Tải điện trở,₫52.000,1 Sao (0),2 Sao (0),3 Sao (0),4 Sao (2),5 Sao (26),Có Bình luận (12),Có hình ảnh / video (9),17 tháng trước,"2,2k",944,"3,4k",nathanguo3.vn,91%,trong vài giờ
Linh kiện,4.9,Đã thích (10),4.9,100,Bộ 10 Vi Mạch Cách Ly Quang Ka3525A Dip16,₫37.248,1 Sao (0),2 Sao (0),3 Sao (1),4 Sao (0),5 Sao (30),Có Bình luận (2),Có hình ảnh / video (2),21 tháng trước,702,"4,5k","5,1k",reland2.vn,17%,trong vài giờ
Linh kiện,4.8,Đã thích (26),4.8,309,"Cáp chuyển 6 pin VGA sang 8 pin VGA, Dây cáp chuyển đổi nguồn phụ 6 pin sang 8 pin VGA",₫16.000 - ₫35.000,1 Sao (1),2 Sao (1),3 Sao (0),4 Sao (1),5 Sao (42),Có Bình luận (14),Có hình ảnh / video (8),5 năm trước,"1,3k",85,"3,5k",maytinhhoangquan,91%,trong vài giờ
