category,avg_rating,n_loved,n_reviews,n_sold,name,price,rate_1,rate_2,rate_3,rate_4,rate_5,rate_with_cmt,rate_with_imgvid,shop_age,shop_follower,shop_n_product,shop_n_review,shop_name,shop_rate_feedback,shop_time_feedback
Màn hình,4.3,Đã thích (44),4.3,54,Màn hình Máy Tính Giá rẻ cho Kĩ thuật,₫150.000 - ₫180.000,1 Sao (4),2 Sao (0),3 Sao (1),4 Sao (2),5 Sao (22),Có Bình luận (11),Có hình ảnh / video (5),3 năm trước,21k,777,"12,2k",forwin68,92%,trong vài giờ
Màn hình,5.0,Đã thích (64),5.0,163,"[Mã 11ELSALE hoàn 7% đơn 300K] Màn hình máy tính 19"" - Màn hình máy tính Dell E1916HV 19Inch",₫2.790.000,,,,,,,,3 năm trước,"12,1k","1,7k","32,3k",huynhlamcomputer,88%,trong vài giờ
Màn hình,5.0,Đã thích (8),5.0,3,"Hộp Màn Hình Cảm Ứng 3.5 ""320X480 Tft Cho Raspberry Pi A B A + 2b 3b 3b + Yn",₫280.600,1 Sao (0),2 Sao (0),3 Sao (0),4 Sao (0),5 Sao (1),Có Bình luận (1),Có hình ảnh / video (1),17 tháng trước,"1,3k","4,8k",2k,seyijian.vn,91%,trong vài giờ
Màn hình,,,,2,Màn Hình Lcd 15.6 Inch Bảo Vệ Máy Tính Xách Tay F6Q5,₫26.000,,,,,,,,15 tháng trước,49,832,69,165475818ss.vn,80%,trong vài giờ
Màn hình,5.0,Đã thích (1),5.0,2,Màn hình Oppo Realme 2,₫600.000,1 Sao (0),2 Sao (0),3 Sao (0),4 Sao (0),5 Sao (2),Có Bình luận (0),Có hình ảnh / video (0),31 tháng trước,"1,3k","1,7k","1,6k",dienthoaisomobile,84%,trong vài giờ
Màn hình,5.0,Đã thích (19),5.0,2,BH12TH ⚡ Màn Hình Laptop 14 inch LED Dày 40 pin HD(1366 x 768),₫860.000,,,,,,,,10 tháng trước,"3,6k","2,2k",240,pin_sac_laptop_zinhang,90%,trong vài giờ
Màn hình,,Đã thích (3),,2,"[Mã ELMALL1TR giảm 5% đơn 3TR] Màn Hình HP M22f (2E2Y3AA) 21.5"" inches FHD IPS",₫3.890.000,,,,,,,,6 năm trước,"60,3k",94,13,hp_flagship_anphat_store,75%,trong vài giờ
Màn hình,5.0,Đã thích (1),5.0,5,Màn hình cảm ứng Meizu M5s bảo hành 3 tháng,₫120.000,1 Sao (0),2 Sao (0),3 Sao (0),4 Sao (0),5 Sao (3),Có Bình luận (1),Có hình ảnh / video (1),4 năm trước,332,"1,5k","1,4k",dungpvus,86%,trong vài giờ
Màn hình,,,,,,,,,,,,,,,,,,,,
Màn hình,,,,,,,,,,,,,,,,,,,,
Màn hình,4.5,Đã thích (28),4.5,18,[Mã 11ELSALE hoàn 7% đơn 300K] Màn hình 17 inch giá tốt nhất,,,,,,,,,,,,,,,
Màn hình,,,,0,"Máy quay tự động 1080P MIC chống nhiễu ứng dụng
",₫151.380,,,,,,,,,,,,,,
Màn hình,,Đã thích (2),,0,Màn hình Samsung I8552 cũ zin tháo máy.,₫200.000,,,,,,,,,,,,,,
Màn hình,,,,,,,,,,,,,,,,,,,,
Màn hình,,,,0,"Camera HD cổng USB xoay được màu đen cho PC
",,,,,,,,,,,,,,,
Màn hình,,,,0,"Giá đỡ nâng màn hình máy tính màu đen có ngăn kéo phong cách sành điệu cho máy in iMac
",,,,,,,,,,,,,,,
Màn hình,4.5,Đã thích (18),4.5,18,Màn hình Laptop LED dày 15.6in 40pin,₫250.000 - ₫500.000,,,,,,,,,,,,,,
Màn hình,,,,,,,,,,,,,,,,,,,,
Màn hình,,,,0,Màn Hình Applewatch Seri 4 Zin Tháo Máy,₫2.600.000,,,,,,,,4 năm trước,13,5,2,hieunguyenapple68,57%,trong vài giờ
Màn hình,,,,0,Phim Dán Bảo Vệ Màn Hình Laptop Thiết Kế Hai Mặt Nhám Tiện Dụng,₫284.000,,,,,,,,38 ngày trước,0,992,0,flowerdyeg.vn,57%,trong vài giờ
