category,avg_rating,n_loved,n_reviews,n_sold,name,price,rate_1,rate_2,rate_3,rate_4,rate_5,rate_with_cmt,rate_with_imgvid,shop_age,shop_follower,shop_n_product,shop_n_review,shop_name,shop_rate_feedback,shop_time_feedback
Máy tính bàn,4.7,Đã thích (31),4.7,105.0,Máy tính Casio Fx-570 ES PLUS,,,,,,,,,,,,,,,
Máy tính bàn,4.0,Đã thích (678),4.0,1.0,"[Mã 11ELSALE hoàn 7% đơn 300K] Đồng Bộ Dell Optiplex 990 Core i3 2100 / 4G / 500G - ,",₫2.500.000,,,,,,,,34 tháng trước,"14,2k",222,"5,7k",maytinhauco.vn,42%,trong vài giờ
Máy tính bàn,3.0,"Đã thích (2,1k)",3.0,2.0,"Máy tính để bàn đồng bộ Dell optiplex 390 ( Core i3 / 8G / SSD 120G ),Có HDMI ,",₫2.890.000,,,,,,,,34 tháng trước,"14,2k",222,"5,7k",maytinhauco.vn,42%,trong vài giờ
Máy tính bàn,5.0,,5.0,1.0,Máy tính đồng bộ HP ProDesk 600 G1,₫3.300.000,,,,,,,,15 tháng trước,"1,1k",10,54,anhjapanshop,88%,trong vài giờ
Máy tính bàn,5.0,Đã thích (16),5.0,1.0,"Combo Main H55, Chip i5 650, Ram 4GB Thích Hợp Lắp Case Chiến Game Phổ Thông Giá Rẻ",₫999.000,,,,,,,,32 tháng trước,24,21,10,tienapex0706,57%,trong vài giờ
Máy tính bàn,5.0,Đã thích (3),5.0,2.0,TAY GAME MÁY TÍNH ĐƠN EW-2008 CÓ RUNG,₫99.000,1 Sao (0),2 Sao (0),3 Sao (0),4 Sao (0),5 Sao (1),Có Bình luận (0),Có hình ảnh / video (0),5 năm trước,"1,5k",991,"1,8k",e.king,59%,trong vài giờ
Máy tính bàn,,,,1.0,Tem Core i7 màu Đen,₫6.000,,,,,,,,35 tháng trước,"3,4k",388,446,linhkienlaptopvietnam,92%,trong vài giờ
Máy tính bàn,5.0,Đã thích (8),5.0,6.0,Case Dell HP  CPU E6-7xxx G41 mini nhỏ gọn siêu bền cực đẹp giá rẻ kết nối wifi internet không dây,₫1.150.000 - ₫2.800.000,1 Sao (0),2 Sao (0),3 Sao (0),4 Sao (0),5 Sao (3),Có Bình luận (3),Có hình ảnh / video (1),31 tháng trước,256,125,292,nguyenchunghtcl,94%,trong vài phút
Máy tính bàn,4.5,Đã thích (388),4.5,2.0,[RẺ VÔ ĐỊCH] Case máy tính để bàn đồng bộ Fujitsu CPU i7 2600 - RAM 4GB - SSD 240GB - SSD 120GB,₫4.250.000,1 Sao (0),2 Sao (0),3 Sao (0),4 Sao (1),5 Sao (1),Có Bình luận (2),Có hình ảnh / video (1),21 tháng trước,5k,199,"1,4k",ozincomputer,62%,trong vài giờ
Máy tính bàn,4.5,Đã thích (172),4.5,5.0,BỘ PC I5 3570/MAIN H61 GIGA/RAM 4G/128G SSD+VGA GT630 (730 2G) CHIẾN All Game online,₫3.550.000 - ₫5.550.000,1 Sao (0),2 Sao (0),3 Sao (0),4 Sao (1),5 Sao (1),Có Bình luận (1),Có hình ảnh / video (0),17 tháng trước,274,48,77,skpcomputer_2020,94%,trong vài giờ
Máy tính bàn,5.0,Đã thích (14),5.0,3.0,MÁY POS BÁN HÀNG TYSSO MHT-M1,₫3.600.000,1 Sao (0),2 Sao (0),3 Sao (0),4 Sao (0),5 Sao (2),Có Bình luận (1),Có hình ảnh / video (1),22 tháng trước,95,83,87,tongkhogiasi,17%,trong vài giờ
Máy tính bàn,4.7,Đã thích (12),4.7,3.0,"Case PC chơi game PUBG , Fifa4,LOL,CF, làm việc, học tập, Chất Lượng.",₫1.500.000 - ₫6.900.000,1 Sao (0),2 Sao (0),3 Sao (0),4 Sao (1),5 Sao (2),Có Bình luận (3),Có hình ảnh / video (2),5 năm trước,653,309,"1,2k",levantu1010,89%,trong vài giờ
Máy tính bàn,5.0,Đã thích (3),5.0,5.0,Chip mực HP Pro200/ 251 (CF210/ 211/ 212/ 213) giá tính trên 1 bộ,₫40.000,,,,,,,,4 năm trước,399,1k,"1,8k",minhtien181,93%,trong vài giờ
Máy tính bàn,5.0,Đã thích (1),5.0,4.0,Combo bộ 3 Fan led RGB 2 mặt VSP V206B +Hub + Remote,₫390.000,,,,,,,,3 năm trước,"1,9k",598,"2,6k",greenhitech,35%,trong vài giờ
Máy tính bàn,5.0,,5.0,25.0,Combo sản phẩm mang tính minh họa,₫360.000,1 Sao (0),2 Sao (0),3 Sao (0),4 Sao (0),5 Sao (4),Có Bình luận (2),Có hình ảnh / video (1),3 năm trước,28,41,84,thunhi8816,57%,trong vài giờ
Máy tính bàn,5.0,"Đã thích (1,4k)",5.0,110.0,Máy Bộ Văn Phòng HP 600G1/800G1⚡️HoangPC⚡️ PC Đồng Bộ Giá Rẻ (I5 4570/Ram 8G/SSD 240GB) - Hàng Nhập Khẩu Nhật - BH 12T,₫5.450.000,1 Sao (0),2 Sao (0),3 Sao (0),4 Sao (0),5 Sao (5),Có Bình luận (5),Có hình ảnh / video (2),16 tháng trước,"5,5k",27,107,hoangpc99,100%,trong vài giờ
Máy tính bàn,,,,0.0,Thùng máy tính Acer cấu hình ngon,₫2.990.000,,,,,,,,5 năm trước,143,51,133,ndlv1989,82%,trong vài giờ
Máy tính bàn,,,,0.0,Cây máy tính đồng bộ để bàn HP 600G1 CPU core  i5-4570  Ram 8GB SSD 480GB+ HDD 1TB Tặng USB thu Wifi,₫6.274.500,,,,,,,,7 tháng trước,23,533,48,linhkienmaytinhtdc,71%,trong vài giờ
Máy tính bàn,,,,0.0,Cây máy tính đồng bộ để bàn HP 400G1/600G1  CPU core  i7-4770  Ram 4GB SSD 120GB+HDD 1TB  Tặng USB thu Wifi,₫6.132.000,,,,,,,,7 tháng trước,23,533,48,linhkienmaytinhtdc,71%,trong vài giờ
Máy tính bàn,,,,0.0,cpu cỏ đủ loại,₫50.000,,,,,,,,4 năm trước,6,4,1,tuyenphan111,16%,trong vài giờ
Máy tính bàn,,,,0.0,Máy tính All In One SingPC M19B370 new 100%,₫7.490.000,,,,,,,,4 năm trước,53,137,31,trangvo156,62%,trong vài giờ
Máy tính bàn,,,,0.0,"Máy tính công nghiệp SIMATIC IPC647E Core i3-8100, 4GB RAM, 1TB HDD SIEMENS 6AG4112-3AA00-0XX0 - Hàng chính hãng",₫88.914.161,,,,,,,,5 năm trước,5,86,0,unatro,25%,trong vài giờ
Máy tính bàn,,,,0.0,cấu hình i3 10100f có vga rời 1030 2gb chạy gaming va đồ họa 2d new bảo hành 36 tháng,₫8.770.000,,,,,,,,4 năm trước,686,"2,1k",471,nguyen_hien86,77%,trong vài giờ
Máy tính bàn,,,,0.0,[GIẢM GIÁ] Áo phông in hình game PUBG Battlegrounds Mobile màu đen đẹp giá rẻ,₫67.680 - ₫103.680,,,,,,,,8 tháng trước,7,3k,21,shopaothun_anime,57%,trong vài giờ
Máy tính bàn,,,,0.0,[GIẢM GIÁ] Áo phông in hình game PUBG Battlegrounds Mobile màu đen đẹp giá rẻ,₫67.680 - ₫103.680,,,,,,,,10 tháng trước,18,3k,24,xuongaophongmangachat,57%,trong vài giờ
Máy tính bàn,,,,0.0,Case HP 110 Desktop PC CPU G2030t Ram4gb SSD120gb chạy siêu nhanh siêu tiết kiệm điện có thu wifi,₫2.500.000,,,,,,,,6 năm trước,"3,1k",222,"3,7k",theskybender,96%,trong vài giờ
Máy tính bàn,,,,0.0,Máy tính chơi game cấu hình ng HOT 10,₫13.400.000,,,,,,,,4 năm trước,20,43,31,clearno,88%,trong vài giờ
Máy tính bàn,,,,0.0,Bộ Case H410/H470 + i3 10105F New,₫7.850.000,,,,,,,,32 tháng trước,66,162,96,thonguyen69,80%,trong vài giờ
Máy tính bàn,,,,0.0,"Cây máy tính văn phòng để bàn HP ProDesk 400G3 SFF, cpu core i7-6700, ram 4GB, SSD 120GB,HDD1TB Tặng USB thu Wifi",₫8.021.970,,,,,,,,7 tháng trước,23,533,48,linhkienmaytinhtdc,71%,trong vài giờ
Máy tính bàn,,,,0.0,Cây máy tính đồng bộ để bàn HP 400G1/600G1 CPU core  i5-4570  Ram 4GB SSD 240GB+ HDD 500GB Tặng USB thu Wifi,₫4.710.750,,,,,,,,7 tháng trước,23,533,48,linhkienmaytinhtdc,71%,trong vài giờ
Máy tính bàn,,,,0.0,"Máy Tính Để Bàn G4400 - Mới 100% Hiệu Năng Cao, Dùng Mượt Mà Văn Phòng, Bảo Hành Lên Tới 4 Năm",₫5.670.000,,,,,,,,3 tháng trước,12,149,7,tcccomputer78,90%,trong vài giờ
Máy tính bàn,4.4,Đã thích (14),4.4,28.0,[Mã 11ELSALE hoàn 7% đơn 300K] [Freeship toàn quốc từ 50k] Combo bộ livestream BM900 sound k10 full phụ kiện,₫1.150.000,1 Sao (0),2 Sao (2),3 Sao (0),4 Sao (0),5 Sao (8),Có Bình luận (8),Có hình ảnh / video (0),6 năm trước,"18,3k",634,"23,6k",hoangtuan12345,97%,trong vài giờ
Máy tính bàn,5.0,Đã thích (2),5.0,9.0,nẹp màn hình iphone X kèm ốc zin bóc máy,₫50.000,,,,,,,,10 tháng trước,408,785,393,quocthangapple,65%,trong vài giờ
Máy tính bàn,5.0,Đã thích (450),5.0,16.0,Máy Bộ Văn Phòng 🎉️ThanhBinhPC🎉 Bộ Máy Tính Để Bàn Cũ | HP PRO 6300/8300 ( I3 2100/8G/120G )  - Bảo Hành 12 Tháng.,₫2.850.000,1 Sao (0),2 Sao (0),3 Sao (0),4 Sao (0),5 Sao (4),Có Bình luận (3),Có hình ảnh / video (0),25 tháng trước,"6,1k",208,"1,1k",thanhbinhpc001,79%,trong vài giờ
Máy tính bàn,4.9,"Đã thích (1,5k)",4.9,12.0,"Cây máy tính để bàn Dell Optiplex CORE I5, RAM 8GB, SSD 120GB, VGA RỜI 2GB. CHIẾN GAME CỰC ĐỈNH. BẢO HÀNH 24 THÁNG",₫5.000.000,1 Sao (0),2 Sao (0),3 Sao (0),4 Sao (1),5 Sao (7),Có Bình luận (7),Có hình ảnh / video (2),4 năm trước,"11,4k","1,1k","3,3k",tranthe109,84%,trong vài giờ
Máy tính bàn,5.0,Đã thích (382),5.0,21.0,Cây Máy Tính Để Bàn 🌺ThanhBinhPC🌺 Máy Tính Đồng Bộ Giá Rẻ - HP ProDesk 400G1 ( I7 4770/8G/240G) - Bảo Hành 12 Tháng.,₫5.650.000,1 Sao (0),2 Sao (0),3 Sao (0),4 Sao (0),5 Sao (6),Có Bình luận (4),Có hình ảnh / video (0),25 tháng trước,"6,1k",208,"1,1k",thanhbinhpc001,79%,trong vài giờ
Máy tính bàn,5.0,Đã thích (492),5.0,7.0,"[Mã 11ELSALE hoàn 7% đơn 300K] Máy tính để bàn Dell Optiplex 9020 SFF core i5 4570s, Ram 4Gb, SSD 120G",₫4.500.000 - ₫4.800.000,1 Sao (0),2 Sao (0),3 Sao (0),4 Sao (0),5 Sao (3),Có Bình luận (0),Có hình ảnh / video (0),19 tháng trước,"4,1k",290,550,vitinhnhatthien,96%,trong vài giờ
Máy tính bàn,5.0,Đã thích (8),5.0,4.0,[Mã 11ELSALE hoàn 7% xu đơn 300k] Máy tính AMD 5600G B450M 16G 256G chính hãng,₫13.090.000 - ₫13.990.000,,,,,,,,4 năm trước,"12,6k",755,"14,9k",pcbienhoa,87%,trong vài giờ
Máy tính bàn,5.0,Đã thích (48),5.0,8.0,"BỘ BÀN PHÍM, CHUỘT, MÁY TÍNH LORFEE MAKEUP LOFREE (ROSE GOLD VERSION)",₫4.750.000,,,,,,,,25 tháng trước,"5,2k",214,629,macsetup.vn,91%,trong vài giờ
Máy tính bàn,5.0,Đã thích (16),5.0,10.0,[Hàng mới về] Kem dưỡng da COSRX nâng cấp chiết xuất ốc sên 92 tất cả trong một 100g,₫231.297,1 Sao (0),2 Sao (0),3 Sao (0),4 Sao (0),5 Sao (5),Có Bình luận (3),Có hình ảnh / video (3),23 tháng trước,530,197,479,yoonybeauty.vn,50%,trong vài giờ
Máy tính bàn,5.0,Đã thích (14),5.0,78.0,Máy Tính Để Bàn Dell i5 ⚡️Freeship⚡️ Case Máy Tính Đồng Bộ - Dell Optiplex 790/990 (i5 2400/Ram 8GB/SSD 240GB) - BH 12T,₫3.900.000,1 Sao (0),2 Sao (0),3 Sao (0),4 Sao (0),5 Sao (1),Có Bình luận (1),Có hình ảnh / video (0),17 tháng trước,"4,3k",99,308,hoangnamcoputer99,84%,trong vài giờ
