category,avg_rating,n_loved,n_reviews,n_sold,name,price,rate_1,rate_2,rate_3,rate_4,rate_5,rate_with_cmt,rate_with_imgvid,shop_age,shop_follower,shop_n_product,shop_n_review,shop_name,shop_rate_feedback,shop_time_feedback
Máy tính bảng,5.0,"Đã thích (1,5k)",5.0,225,[Mã 11ELSALE hoàn 7% xu đơn 300k] Máy đọc sách All-new Kindle 10th Generation - 2019 (4GB/8GB) NEW 100%,₫1.999.000 - ₫2.699.000,,,,,,,,31 tháng trước,"8,8k",124,"1,3k",xaha.store,94%,trong vài giờ
Máy tính bảng,5.0,Đã thích (1),5.0,3,sạc sony Z . Hàng zin theo máy,₫75.000,1 Sao (0),2 Sao (0),3 Sao (0),4 Sao (0),5 Sao (1),Có Bình luận (0),Có hình ảnh / video (0),34 tháng trước,181,610,782,misuphukien,56%,trong vài giờ
Máy tính bảng,5.0,Đã thích (1),5.0,4,Dẻo vu galaxy A5-2016,₫55.000,,,,,,,,4 năm trước,"4,5k","3,2k","11,5k",khanhshop1,94%,trong vài giờ
Máy tính bảng,5.0,Đã thích (26),5.0,2,Máy tính bảng Lenovo Tab M10 Mới Có hộp Giá tốt tại Zinmobile .,₫4.350.000,1 Sao (0),2 Sao (0),3 Sao (0),4 Sao (0),5 Sao (1),Có Bình luận (1),Có hình ảnh / video (1),32 tháng trước,344,115,96,zinmobile_giatot,89%,trong vài giờ
Máy tính bảng,5.0,Đã thích (6),5.0,3,"Màn hình tab A(8 inch) samsung T290, T295",₫880.000,1 Sao (0),2 Sao (0),3 Sao (0),4 Sao (0),5 Sao (2),Có Bình luận (0),Có hình ảnh / video (0),5 năm trước,99,192,96,huonganh83,7%,trong vài giờ
Máy tính bảng,5.0,Đã thích (3),5.0,3,Phím Home Samsung Galaxy Note 5 chính hãng N920,₫108.800 - ₫153.600,1 Sao (0),2 Sao (0),3 Sao (0),4 Sao (0),5 Sao (2),Có Bình luận (0),Có hình ảnh / video (1),4 năm trước,"4,6k",452,"11,6k",luugiamobile,93%,trong vài giờ
Máy tính bảng,5.0,Đã thích (5),5.0,10,"Máy Tính Bảng Samsung Tab A 8.0 2019 T290, Ram 2Gb, Bộ Nhớ 32Gb",₫2.790.000 - ₫2.950.000,1 Sao (0),2 Sao (0),3 Sao (0),4 Sao (0),5 Sao (1),Có Bình luận (0),Có hình ảnh / video (0),5 năm trước,31,31,33,storeminhtuan,77%,trong vài giờ
Máy tính bảng,5.0,Đã thích (1),5.0,7,Bảng số điện thoại phiên bản năm 2021 có phá kính,₫79.000,1 Sao (0),2 Sao (0),3 Sao (0),4 Sao (0),5 Sao (1),Có Bình luận (0),Có hình ảnh / video (0),4 năm trước,"1,2k",32,30,hoabui66,5%,trong vài ngày
Máy tính bảng,4.8,Đã thích (2),4.8,8,Vỏ thay nắp lưng cho Galaxy Note 4 ( đẹp như máy mới ),₫65.000,1 Sao (0),2 Sao (0),3 Sao (0),4 Sao (1),5 Sao (4),Có Bình luận (3),Có hình ảnh / video (1),4 năm trước,"5,8k","3,6k","9,7k",phukiendepgiare,95%,trong vài giờ
Máy tính bảng,4.7,Đã thích (4),4.7,22,Thay nắp lưng Kính cho Samsung Galaxy S10 5G Zin máy đẹp như mới,₫299.000,1 Sao (0),2 Sao (0),3 Sao (0),4 Sao (2),5 Sao (4),Có Bình luận (1),Có hình ảnh / video (0),34 tháng trước,"12,3k","4,8k","16,5k",phukiendienthoai_chinhhang99,97%,trong vài giờ
Máy tính bảng,4.8,Đã thích (13),4.8,15,Máy đọc sách Kindle PaperWhite 2018 REFURBISHED,₫2.499.000,1 Sao (0),2 Sao (0),3 Sao (1),4 Sao (0),5 Sao (10),Có Bình luận (10),Có hình ảnh / video (1),4 năm trước,156,30,173,alexatovn,10%,trong vài giờ
Máy tính bảng,4.9,Đã thích (25),4.9,13,"Máy tính bảng lPad 4 HỌC ONLINE  ZOOM , YOUTUBE TIKOK TỐT MÀN LỚN 9.7 INCH  Chính hãng 16gb/32gB  MR CAU",₫2.550.000 - ₫2.750.000,1 Sao (0),2 Sao (0),3 Sao (0),4 Sao (1),5 Sao (7),Có Bình luận (6),Có hình ảnh / video (5),6 tháng trước,"4,3k",62,275,mrcaustore,100%,trong vài giờ
Máy tính bảng,4.7,Đã thích (131),4.7,50,Máy tính bảng kiêm laptop Galaxy tab As88 plus Ram 8G -128G,₫3.490.000,1 Sao (1),2 Sao (0),3 Sao (1),4 Sao (3),5 Sao (23),Có Bình luận (16),Có hình ảnh / video (13),3 năm trước,138,73,83,diemmobile,67%,trong vài giờ
Máy tính bảng,,"Đã thích (3,1k)",,0,"Máy Tính Bảng LENOVO PHAB 2 PRO ram 4G/64G màn hình 6.4inch 2sim, Chiến Game siêu mướt",₫3.800.000,,,,,,,,4 năm trước,"20,2k",331,362,baoloansmartphone,57%,trong vài ngày
Máy tính bảng,,Đã thích (742),,0,VỎ SAU SAMSUNG NOTE 9 MÀU XANH,₫75.000,,,,,,,,35 tháng trước,"4,2k","2,9k",296,thietbisaigon,57%,trong vài giờ
Máy tính bảng,,Đã thích (1),,0,Máy đọc sách Kindle giá sinh viên,₫1.000.000 - ₫1.200.000,,,,,,,,31 tháng trước,164,79,34,astore.dn,40%,trong vài giờ
Máy tính bảng,,Đã thích (2),,0,CỤM MAIN MÁY TÍNH BẢNG PAD 2 WIFI QUỐC TẾ ( FULL ĐỒ ) THANH LÝ,₫550.000,,,,,,,,7 năm trước,"27,3k",54,"2,1k",huyenbingbong,81%,trong vài giờ
Máy tính bảng,,Đã thích (1),,0,"Máy tính bảng pad4.phiên bản quốc tế, giá rẻ.đẹp keng chắc chắn",₫1.350.000 - ₫2.880.000,,,,,,,,21 tháng trước,35,10,2,ngocwin86,57%,trong vài giờ
Máy tính bảng,,Đã thích (1),,0,Bút cảm ứng GOOJODOQ Cho Ipad pro 11 12.9 2018 2020ipad gen7 10.2 Air Round section. White,₫420.000,,,,,,,,9 tháng trước,28,282,33,280185pvt,30%,trong vài giờ
Máy tính bảng,,Đã thích (3),,0,Máy đọc sách Kobo Sage {Tặng tài khoản Pro epub.vn},₫8.990.000 - ₫11.390.000,,,,,,,,4 năm trước,713,87,387,maydocsach,61%,trong vài giờ
Máy tính bảng,,,,0,Máy tính bảng Masstel Tab 10.1 mới,₫3.450.000,,,,,,,,13 tháng trước,216,184,447,linhkien88,78%,trong vài giờ
Máy tính bảng,,Đã thích (1),,0,Samsung Galaxy Tab A7 Lite mới tinh chính hãng ( SM-T225),₫4.590.000,,,,,,,,2 tháng trước,0,2,0,minmobile.net,57%,trong vài giờ
Máy tính bảng,,Đã thích (1),,0,Máy tính bảng lenovo Xiaoxin pad 11,₫4.790.000 - ₫7.600.000,,,,,,,,4 năm trước,567,147,203,minhhightech,39%,trong vài giờ
Máy tính bảng,,Đã thích (2),,0,Máy tính bảng Samsung Galaxy Tab A7 (2020) Gold SM-T505N. KeyPhone Mobile,₫7.490.000,,,,,,,,26 tháng trước,2,11,1,keyphonemobile,4%,trong vài giờ
Máy tính bảng,,Đã thích (1),,0,"Máy đọc sách BOOX Note Air 2 {Tặng tài khoản Pro Epub, App NGHIENDOC}",₫13.290.000 - ₫13.890.000,,,,,,,,4 năm trước,713,87,387,maydocsach,61%,trong vài giờ
Máy tính bảng,,Đã thích (3),,0,(IPAD 2) Máy tính bảng PAD 2 32/16Gb chính hãng bản Wifi - tặng kèm phụ kiện hỗ trợ tải ứng dụng,₫450.000 - ₫1.750.000,,,,,,,,4 năm trước,"8,4k",77,"1,4k",huongphan19,60%,trong vài giờ
Máy tính bảng,,,,0,máy tính bảng Pad 4 đời Chính Hãng tablet 16G/32G Wifi Quốc tế Máy tính bảng cũ giá rẻ Bảo hành 12 tháng,₫2.540.000 - ₫3.300.000,,,,,,,,2 tháng trước,24,4,25,huagepad,56%,trong vài giờ
Máy tính bảng,,Đã thích (345),,0,Máy tính bảng Huawei T3 10 inch nghe gọi được,₫2.999.000,,,,,,,,5 năm trước,277,40,124,hdmobile3,90%,trong vài giờ
Máy tính bảng,,Đã thích (2),,0,máy tính bản lPad gen 6(1028) bản wifi 32gb nguyên zin chuẩn,₫5.590.000,,,,,,,,8 tháng trước,4,57,1,dinhuyentram12143,78%,trong vài giờ
Máy tính bảng,,Đã thích (1),,0,Máy tính bảng ARCHOS 79 Xenon,₫1.988.000,,,,,,,,5 năm trước,2,48,0,1smart.vn,57%,trong vài giờ
Máy tính bảng,,Đã thích (5),,0,Máy đọc sách Kobo Glo likenew,₫1.500.000,,,,,,,,4 năm trước,4,1,0,sarkypham98,26%,trong vài giờ
Máy tính bảng,,Đã thích (1),,0,Smart pad cho bé học và chơi,₫460.000,,,,,,,,4 năm trước,24,49,32,anniedo1508,61%,trong vài phút
Máy tính bảng,,Đã thích (1),,0,Bao da Book Cover Samsung Galaxy Tab S6 Lite chính hãng Samsung,₫700.000,,,,,,,,4 năm trước,23,"4,1k",98,shopdochoicongnghe02,50%,trong vài giờ
