category,avg_rating,n_loved,n_reviews,n_sold,name,price,rate_1,rate_2,rate_3,rate_4,rate_5,rate_with_cmt,rate_with_imgvid,shop_age,shop_follower,shop_n_product,shop_n_review,shop_name,shop_rate_feedback,shop_time_feedback
Pin,4.9,Đã thích (24),4.9,164,iá Đỡ Chống Lưng Cho Phụ Kiện pop Điện Thoại Tai Nghe Bluetooth Airpod Airpods i12 Iphone Pin Dự Phòng,₫4.900 - ₫6.000,,,,,,,,22 tháng trước,"24,6k",459,"58,2k",sieure1688,97%,trong vài giờ
Pin,5.0,Đã thích (4),5.0,13,Pin dự phòng Baseus 10000mAh/20000mAh - Hỗ trợ sạc nhanh -Vỏ Thép Nguyên Khối - Có đèn LED - Chính Hãng,₫500.000 - ₫600.000,,,,,,,,27 tháng trước,"10,1k",185,11k,baseus.com,92%,trong vài giờ
Pin,4.8,Đã thích (10),4.8,25,Mạch sạc pin dự phòng 18650 có sạc không dây 5W,₫30.000,,,,,,,,4 năm trước,"3,8k",185,"4,4k",tulamloa,91%,trong vài giờ
Pin,4.4,Đã thích (4),4.4,37,"Dây Cáp Nguồn Usb 5v Sang 5v 9v 12v chân 5,5mm 2.1mm",₫13.000 - ₫19.999,1 Sao (2),2 Sao (0),3 Sao (0),4 Sao (0),5 Sao (12),Có Bình luận (6),Có hình ảnh / video (2),30 tháng trước,"4,2k",225,4k,doanminhquang27112016,86%,trong vài giờ
Pin,5.0,Đã thích (10),5.0,17,Sạc dự phòng Baseus 18W 10000mAh tốc độ sạc nhanh kết nối 3.0 Quick Charge 3.0 và Power Dilivery 3.0,₫390.000,1 Sao (0),2 Sao (0),3 Sao (0),4 Sao (0),5 Sao (12),Có Bình luận (10),Có hình ảnh / video (10),3 năm trước,50,31,74,vanmanh2807,50%,trong vài phút
Pin,4.4,Đã thích (7),4.4,37,Hộp 2 pin 18650 nối tiếp có công tắc ON OFF,₫20.000,,,,,,,,6 năm trước,"24,7k",452,"26,4k",dientugiatot.vn,97%,trong vài giờ
Pin,4.9,Đã thích (3),4.9,11,[Mã giảm giá] Sạc dự phòng Proda 10000mAh wireless - LikeNew Chính Hãng,₫150.000,,,,,,,,4 năm trước,"5,3k",256,"2,3k",longtu1432005,85%,trong vài giờ
Pin,4.8,Đã thích (23),4.8,49,[ Chính Hãng Kivee ] Pin Sạc dự phòng dung lượng 10000 mAh PF23 màn hình hiển thị LED hỗ trợ sạc nhanh,₫334.000,1 Sao (0),2 Sao (0),3 Sao (1),4 Sao (3),5 Sao (19),Có Bình luận (15),Có hình ảnh / video (9),15 tháng trước,"1,3k",110,"2,5k",kivee_official_store,40%,trong vài giờ
Pin,5.0,Đã thích (1),5.0,25,Bao silicon pin sạc dự phòng 30000mAh Xiaomi gen 3 18W mau ngẩu nhiên,₫30.000,1 Sao (0),2 Sao (0),3 Sao (0),4 Sao (0),5 Sao (8),Có Bình luận (4),Có hình ảnh / video (3),5 năm trước,"45,4k","2,7k","43,2k",chiemtaimobile,94%,trong vài giờ
Pin,5.0,Đã thích (9),5.0,12,Pin Dự Phòng Anker PowerCore Slim 10000 PD - A1231 - sạc nhanh PD 18W,₫350.000,1 Sao (0),2 Sao (0),3 Sao (0),4 Sao (0),5 Sao (7),Có Bình luận (6),Có hình ảnh / video (5),6 năm trước,"1,9k",112,"1,1k",thanhdn9x,96%,trong vài giờ
Pin,4.9,Đã thích (11),4.9,65,Pin sạc dự phòng Remax RPP-96 10000mAh lõi Li-Polymer 2 cổng sạc Input/Output - Hàng chính hãng,₫155.000,1 Sao (0),2 Sao (0),3 Sao (1),4 Sao (1),5 Sao (24),Có Bình luận (8),Có hình ảnh / video (7),6 năm trước,"41,9k","2,3k","67,7k",nhattincomputer.vn,84%,trong vài giờ
Pin,4.8,Đã thích (225),4.8,83,Pin Cell Pin 18650 1500mah chế sạc điện thoại sạc dự phòng,₫19.999,1 Sao (0),2 Sao (0),3 Sao (1),4 Sao (1),5 Sao (11),Có Bình luận (5),Có hình ảnh / video (4),23 tháng trước,"2,5k",184,"2,5k",hethonghntuhu,85%,trong vài giờ
Pin,5.0,"Đã thích (20,1k)",5.0,400,"Sạc Dự Phòng ⚡️CHÍNH HÃNG⚡️ pin sạc dự phòng Baseus Bipow 18w sạc nhanh 3.0 đầy đủ chế độ bảo vệ quá áp, quá dòng",₫289.000,1 Sao (0),2 Sao (0),3 Sao (0),4 Sao (0),5 Sao (3),Có Bình luận (2),Có hình ảnh / video (1),20 tháng trước,"52,6k",121,2k,khosacduphonggiatot,83%,trong vài giờ
Pin,4.8,Đã thích (36),4.8,104,Box 8 lắp pin hỗ trợ sạc nhanh QC3.0 có lò xo hiển màn hình LED báo dòng sạc vào ra,₫115.000 - ₫150.000,,,,,,,,6 năm trước,"24,7k",452,"26,4k",dientugiatot.vn,97%,trong vài giờ
Pin,5.0,Đã thích (3),5.0,51,Pin dự phòng 5Space Model: Y2 (2021) dung lượng 10.800mAh,₫189.000,1 Sao (0),2 Sao (0),3 Sao (0),4 Sao (0),5 Sao (11),Có Bình luận (11),Có hình ảnh / video (1),25 tháng trước,"8,4k",109,286,nguyenhien293,100%,trong vài giờ
Pin,5.0,"Đã thích (4,1k)",5.0,14,Sạc Dự Phòng SYC S216 20000mAh cáp sạc iPhone và Android Type-C phù hợp với iP và Android ( tặng kèm thêm sticker),₫328.000,,,,,,,,4 tháng trước,"10,2k",22,280,carephone.official,89%,trong vài giờ
Pin,4.9,"Đã thích (1,1k)",4.9,62,"Sạc dự phòng Baseus Adaman Metal Digital Display Quick Charge, sạc nhanh 22.5W (QC3.0/ PD3.0) chính hãng BH 24 tháng",₫500.000,1 Sao (0),2 Sao (1),3 Sao (0),4 Sao (0),5 Sao (34),Có Bình luận (17),Có hình ảnh / video (18),24 tháng trước,"17,6k",77,755,cubo280912,93%,trong vài giờ
Pin,4.6,Đã thích (23),4.6,150," Sạc dự phòng Xiaomi Gen 3 chính hãng 10.000 mAh (2 cổng usb,sạc nhanh 18w)",₫235.000,1 Sao (3),2 Sao (0),3 Sao (1),4 Sao (0),5 Sao (31),Có Bình luận (22),Có hình ảnh / video (17),24 tháng trước,"4,3k",47,"1,5k",gozoda,76%,trong vài giờ
Pin,4.9,"Đã thích (1,6k)",4.9,18,🔥Siêu Sale🔥Sạc dự phòng chính hãng lebowei. Pin dự phòng dung lượng 10000mAh hỗ trợ sạc nhanh,₫199.000,1 Sao (0),2 Sao (0),3 Sao (0),4 Sao (1),5 Sao (9),Có Bình luận (6),Có hình ảnh / video (6),8 tháng trước,"32,9k",28,624,phukiengreentech,12%,trong vài giờ
Pin,4.7,Đã thích (17),4.7,24,Mạch sạc dự phòng kiêm củ sạc nhanh 2in1,₫79.000 - ₫149.000,1 Sao (0),2 Sao (0),3 Sao (1),4 Sao (1),5 Sao (8),Có Bình luận (6),Có hình ảnh / video (5),5 năm trước,331,30,370,hophuc94,84%,trong vài giờ
Pin,4.9,"Đã thích (1,9k)",4.9,87,Sạc dự phòng Power bank 10.000 mAh pin dự phòng thời trang hot hit,₫157.000,1 Sao (0),2 Sao (0),3 Sao (1),4 Sao (0),5 Sao (14),Có Bình luận (9),Có hình ảnh / video (6),18 tháng trước,"2,5k",32,153,giangsonshop,75%,trong vài giờ
Pin,4.8,Đã thích (68),4.8,120,Pin sạc dự phòng Pineng PN-951 10.000mAh - BH 1 năm chính hãng | Pin dự phòng,₫320.000,1 Sao (3),2 Sao (0),3 Sao (0),4 Sao (3),5 Sao (56),Có Bình luận (34),Có hình ảnh / video (12),3 năm trước,611,23,"1,3k",holdinggme,26%,trong vài phút
Pin,4.9,Đã thích (9),4.9,118,Pin sạc dự phòng hoco 10000mah J48 Hàng chính hãng,₫150.000,,,,,,,,3 năm trước,10k,295,"10,8k",shopxu99,68%,trong vài giờ
Pin,5.0,,5.0,593,Pin sạc dự phòng 10000mAh chính hãng HOCO CJ6 công nghệ sạc nhanh PD 20W + QC 3.0 màn hình LED hiển thị thông số pin,₫289.000,1 Sao (0),2 Sao (0),3 Sao (0),4 Sao (0),5 Sao (6),Có Bình luận (6),Có hình ảnh / video (6),10 tháng trước,"3,8k",104,916,bestsells1,93%,trong vài giờ
Pin,5.0,"Đã thích (2,5k)",5.0,121,Tai nghe ip 6/6s ZlN 💖FREE SHIP💖iphone các dòng 5/6/6s/6 plus/6s plus,₫120.000,1 Sao (0),2 Sao (0),3 Sao (0),4 Sao (0),5 Sao (6),Có Bình luận (3),Có hình ảnh / video (0),5 năm trước,"2,5k",32,169,truong_giang_mobile,48%,trong vài giờ
Pin,4.9,Đã thích (34),4.9,123,Mạch hạ áp sạc dự phòng 5V3A,₫27.000,1 Sao (0),2 Sao (0),3 Sao (1),4 Sao (0),5 Sao (29),Có Bình luận (6),Có hình ảnh / video (2),5 năm trước,"1,4k",584,"3,8k",tcbb1991,58%,trong vài giờ
Pin,4.6,Đã thích (49),4.6,176,[ SẠC GƯƠNG ] Padabanic Pin Sạc Dự Phòng PowerBank Highspeed Mặt kính bóng Tích hợp Đèn Pin,₫55.000 - ₫238.000,1 Sao (2),2 Sao (1),3 Sao (1),4 Sao (4),5 Sao (33),Có Bình luận (18),Có hình ảnh / video (9),26 tháng trước,"4,3k",109,"5,4k",padabanic.official,100%,trong vài giờ
Pin,5.0,Đã thích (10),5.0,525,"Sạc dự phòng Baseus 30000mAh 65W sạc nhanh hỗ trợ đầu ra cổng type C PD,Dùng được cho cả máy tính,hàng chính hãng",₫490.000 - ₫1.199.000,1 Sao (0),2 Sao (0),3 Sao (0),4 Sao (0),5 Sao (13),Có Bình luận (4),Có hình ảnh / video (3),8 tháng trước,"1,7k",168,"1,4k",zukina_shops.vn,90%,trong vài giờ
Pin,4.8,Đã thích (8),4.8,36,Box sạc dự phòng mica 4 cell 26650,₫155.000,,,,,,,,5 năm trước,211,176,573,shopdiytool,86%,trong vài giờ
Pin,4.7,Đã thích (9),4.7,59,Box sạc dự phòng 2 cell (Không kèm pin),₫18.000,1 Sao (1),2 Sao (0),3 Sao (1),4 Sao (1),5 Sao (20),Có Bình luận (10),Có hình ảnh / video (10),3 năm trước,120,"1,1k",805,chaudiemmy123456,50%,trong vài giờ
Pin,4.8,Đã thích (2),4.8,247,Pin sạc dự phòng Hoco J75 10.000mAh Sạc Nhanh 2 cổng USB 5V-2A - Màn LED hiển thị pin,₫199.000,1 Sao (0),2 Sao (0),3 Sao (1),4 Sao (0),5 Sao (10),Có Bình luận (2),Có hình ảnh / video (0),26 tháng trước,"5,1k",282,7k,vuaphukien28gio,88%,trong vài giờ
Pin,4.8,Đã thích (33),4.8,47,Pin dự phòng Baseus QPow sạc nhanh 15w siêu nhỏ kèm cáp lightning 10000mAh,₫299.000,1 Sao (0),2 Sao (1),3 Sao (0),4 Sao (0),5 Sao (15),Có Bình luận (3),Có hình ảnh / video (4),3 năm trước,"1,4k",388,"1,6k",baseusshop,88%,trong vài giờ
Pin,5.0,Đã thích (28),5.0,396,Sạc dự phòng 10000mAh có màn hình kỹ thuật số Topk I1006 tphcm,₫398.000,1 Sao (0),2 Sao (0),3 Sao (0),4 Sao (0),5 Sao (5),Có Bình luận (5),Có hình ảnh / video (1),13 tháng trước,"1,2k",90,426,caseuyen,41%,trong vài giờ
Pin,4.6,"Đã thích (5,3k)",4.6,103,"Pin Sạc Dự Phòng REMAX 20.000mAh,RPP-106/Dự Phòng-20.000mAh",₫280.000,1 Sao (1),2 Sao (0),3 Sao (3),4 Sao (2),5 Sao (28),Có Bình luận (15),Có hình ảnh / video (9),4 năm trước,21k,147,"11,5k",ntmobile1,6%,trong vài giờ
Pin,5.0,Đã thích (90),5.0,44,Pin sạc dự phòng Arun 8400mAh chính hãng,₫99.000,1 Sao (0),2 Sao (0),3 Sao (0),4 Sao (1),5 Sao (39),Có Bình luận (6),Có hình ảnh / video (0),6 năm trước,667,415,856,phukienbanbuon,28%,trong vài giờ
Pin,4.7,Đã thích (98),4.7,119,"Pin dự phòng tích hợp sạc nhanh không dây Baseus Mini S Bracket Power Bank 10,000mAh (10W ,18W PD/ Quick Charge 3.0)",₫395.000,1 Sao (2),2 Sao (1),3 Sao (1),4 Sao (1),5 Sao (44),Có Bình luận (21),Có hình ảnh / video (15),32 tháng trước,"3,8k",695,6k,baseus_shop,86%,trong vài giờ
Pin,5.0,Đã thích (4),5.0,290,Sạc dự phòng 10000mah 4 dây sạc dung lượng thật,₫179.000 - ₫279.000,1 Sao (0),2 Sao (0),3 Sao (0),4 Sao (0),5 Sao (3),Có Bình luận (3),Có hình ảnh / video (0),5 năm trước,"4,4k",247,"6,1k",hungdtkp,44%,trong vài giờ
Pin,5.0,Đã thích (1),5.0,"17,1k",Tai Nghe Bluetooth Không Dây Amoi F9 Nút Cảm Ứng Kiêm Pin Sạc Dự Phòng sarala.shop01,₫319.000,1 Sao (0),2 Sao (0),3 Sao (0),4 Sao (0),5 Sao (1),Có Bình luận (1),Có hình ảnh / video (1),8 tháng trước,8,29,61,sarala.shop01,76%,trong vài giờ
Pin,4.9,Đã thích (79),4.9,87,Sạc dự phòng 10000mAh Yoobao A1 Polymer Slim - Hàng chính hãng - Bảo hành 12 tháng 1 đổi 1,₫250.000,1 Sao (0),2 Sao (0),3 Sao (0),4 Sao (2),5 Sao (36),Có Bình luận (16),Có hình ảnh / video (14),4 năm trước,"79,6k",121,"14,9k",yoobao_official_store,90%,trong vài giờ
Pin,4.4,Đã thích (35),4.4,146,Box Sạc Dự Phòng 4 Cell 2A 18650 Xiaomi ( Màu sắc ngẫu nhiên ),₫59.000,1 Sao (4),2 Sao (0),3 Sao (4),4 Sao (2),5 Sao (33),Có Bình luận (18),Có hình ảnh / video (11),4 năm trước,"51,6k","2,7k","133,3k",linhkiendientu3m,97%,trong vài giờ
Pin,5.0,Đã thích (144),5.0,61,Sạc dự phòng 10 cell pin các loại,₫1.260.099 - ₫1.330.099,1 Sao (0),2 Sao (0),3 Sao (0),4 Sao (1),5 Sao (35),Có Bình luận (22),Có hình ảnh / video (11),5 năm trước,"18,2k",354,"20,8k",levanhuykhuyettat,90%,trong vài giờ
Pin,5.0,Đã thích (24),5.0,71,[ Bản Quốc Tế có Cáp ] Sạc dự phòng Xiaomi Redmi 20000mAh Sạc nhanh 18W Micro USB & Type-C - Chính hãng phân phối,₫425.830,1 Sao (0),2 Sao (0),3 Sao (0),4 Sao (0),5 Sao (34),Có Bình luận (19),Có hình ảnh / video (10),6 năm trước,"30,4k",584,"28,1k",kimlong.vn,95%,trong vài giờ
Pin,5.0,"Đã thích (4,4k)",5.0,42,SẠC DỰ PHÒNG SENDEM P68 15800 CHÍNH HÃNG - Bảo hành 1 năm - Vi vu du lịch,₫299.000,1 Sao (0),2 Sao (0),3 Sao (0),4 Sao (0),5 Sao (39),Có Bình luận (2),Có hình ảnh / video (0),4 năm trước,"10,8k",297,"6,1k",phanlegiabao,2%,trong vài giờ
Pin,4.8,Đã thích (26),4.8,48,"[Mã 11ELSALE hoàn 7% xu đơn 300K] Sạc dự phòng MiLi Power Sunny Plus 10,000mAh/3.7V - HB-N10",₫500.000,1 Sao (0),2 Sao (0),3 Sao (2),4 Sao (0),5 Sao (14),Có Bình luận (7),Có hình ảnh / video (5),31 tháng trước,"25,1k",25,296,mili_flagship_store,89%,trong vài giờ
Pin,4.7,Đã thích (79),4.7,102,Pin Sạc Dự Phòng Basike BSK-PF22 10000mah Đèn Led 2 Cổng Với Cáp Sạc,₫185.000,1 Sao (3),2 Sao (0),3 Sao (1),4 Sao (3),5 Sao (50),Có Bình luận (35),Có hình ảnh / video (28),15 tháng trước,"25,1k",149,18k,basike.vn,75%,trong vài giờ
Pin,5.0,Đã thích (5),5.0,24,Sạc dự phòng kiêm sạc không dây Proda qua sử dụng mới 97-98%,₫150.000,1 Sao (0),2 Sao (0),3 Sao (0),4 Sao (0),5 Sao (11),Có Bình luận (5),Có hình ảnh / video (4),4 năm trước,"8,7k",231,"19,8k",tocxukorea,99%,trong vài giờ
Pin,5.0,Đã thích (17),5.0,35,"Pin sạc dự phòng Remax RPP-199 30000mAh QC22.5W PD20W, 3 Inputs 6 Outputs, lõi Li-Polymer (Xanh) - Nhất Tín Computer",₫479.000,1 Sao (0),2 Sao (0),3 Sao (0),4 Sao (0),5 Sao (11),Có Bình luận (5),Có hình ảnh / video (5),6 năm trước,"41,9k","2,3k","67,7k",nhattincomputer.vn,84%,trong vài giờ
Pin,5.0,Đã thích (7),5.0,26,Sạc Dự Phòng Basike BSK-PT68 Dung Lượng 10000mah Màn Hình LED Kèm Cáp Sạc,₫160.000,1 Sao (0),2 Sao (0),3 Sao (0),4 Sao (0),5 Sao (12),Có Bình luận (6),Có hình ảnh / video (6),15 tháng trước,"25,1k",149,18k,basike.vn,75%,trong vài giờ
Pin,5.0,Đã thích (6),5.0,40,"Pin sạc dự phòng Li- polymer 10000mAh ivalue MTP100007 Xám đen, Bạc",₫135.000,1 Sao (0),2 Sao (0),3 Sao (0),4 Sao (0),5 Sao (14),Có Bình luận (8),Có hình ảnh / video (10),22 tháng trước,"5,8k",146,"1,2k",solarhangkhuyenmai,96%,trong vài giờ
Pin,5.0,Đã thích (2),5.0,62,Pin Li-on 18650 dung lương 1500mAh dòng xả 10C(loại tốt),,,,,,,,,19 tháng trước,"1,3k",435,520,linhkiendientubk,93%,trong vài giờ
Pin,4.9,Đã thích (5),4.9,48,Sạc dự phòng mica trong suốt 4 cell 18650-tích hợp 3 cổng sạc,₫120.000,,,,,,,,5 năm trước,211,176,573,shopdiytool,86%,trong vài giờ
Pin,4.8,Đã thích (31),4.8,127,"Box sạc dự phòng dùng 8 Cell 3 đầu vào lightning, type-c,microusb, pin 18650, hộp đựng pin dự phòng, - CHƯA PIN",₫19.000 - ₫85.000,,,,,,,,5 năm trước,"21,9k",309,"10,2k",smartbuy_hn,77%,trong vài giờ
Pin,4.8,Đã thích (36),4.8,87,[ SO CUTE ] Pin Sạc Dự Phòng 10000mAh High Speed 2 cổng Output Tích hợp đèn pin và tháp đèn Màu sắc đa dạng,₫50.000 - ₫188.000,,,,,,,,27 tháng trước,"22,7k",132,"29,7k",padabanic.flagshipstore,100%,trong vài phút
Pin,4.7,Đã thích (14),4.7,22,"[Mã 11ELSALE hoàn 7% xu đơn 300K] Sạc dự phòng PISEN pro led station 30000MAH, 22.5W - hàng chính hãng",₫946.000,,,,,,,,4 năm trước,"14,3k",291,"3,4k",piseneasy,60%,trong vài giờ
