category,avg_rating,n_loved,n_reviews,n_sold,name,price,rate_1,rate_2,rate_3,rate_4,rate_5,rate_with_cmt,rate_with_imgvid,shop_age,shop_follower,shop_n_product,shop_n_review,shop_name,shop_rate_feedback,shop_time_feedback
Sạc,4.9,Đã thích (23),4.9,"1,4k",Cáp Bison 2M (Dài 2 Mét / Sạc Nhanh / Bảo hành 6 Tháng / Bảo hiểm Cháy Nổ),,,,,,,,,4 năm trước,"8,6k",35,"7,5k",exshopvn,86%,trong vài giờ
Sạc,4.9,"Đã thích (63,5k)",4.9,780,"Cáp sạc lightning, dây sạc 8ic zin chính hãng, sợi to sạc nhanh và truyền dât cho ip - Beetech",,,,,,,,,3 năm trước,"104,4k",298,"46,6k",beetech.store,100%,trong vài giờ
Sạc,5.0,Đã thích (10),5.0,315,"Bộ Sạc Nhanh PD 20W, Quick Charge 3.0 Hoco C80 - Củ Sạc Nhanh Kèm Cáp Sạc Lightning, Type C Chính Hãng",₫189.000,1 Sao (0),2 Sao (0),3 Sao (0),4 Sao (0),5 Sao (103),Có Bình luận (31),Có hình ảnh / video (16),34 tháng trước,"14,8k",52,902,aql_store_official,91%,trong vài giờ
Sạc,,,,,,,,,,,,,,,,,,,,
Sạc,5.0,Đã thích (49),5.0,382,Bộ 5Pcs/Set Dây Quấn Fonken NS104 Buộc Cáp Sạc Tai Nghe HDMI Và Chuột Di Máy Tính 12cm*1.2cm,₫30.800,,,,,,,,,,,,,,
Sạc,4.8,Đã thích (96),4.8,"1,1k","Bộ tua vít 5 đầu đa năng cao cấp, sửa chữa điện thoại Iphone, Ipad, Samsung... tô vít mở được các loại điện thoại - Công",,,,,,,,,19 tháng trước,"1,1k","1,2k",6k,congcutienich,69%,trong vài giờ
Sạc,4.9,Đã thích (166),4.9,512,Giá Đỡ Điện Thoại Hoạt Hình Dễ Thương,₫8.000 - ₫22.000,,,,,,,,3 năm trước,"43,4k","3,7k","88,4k",yi_da.vn,43%,trong vài giờ
Sạc,4.9,Đã thích (107),4.9,"1,4k",CÁP LIGHTING HOCO X1 DÀI 1M,₫24.900,1 Sao (5),2 Sao (1),3 Sao (5),4 Sao (13),5 Sao (595),Có Bình luận (321),Có hình ảnh / video (280),6 năm trước,"71,6k","1,7k",152k,nlvshop2016,94%,trong vài giờ
Sạc,4.9,Đã thích (12),4.9,523,"Kẹp giữ cáp sạc, dây điện, dây bàn phím, chuột gọn gàng chống rối dây, keo 3m bóc dán dễ dàng KLH Store",₫1.000 - ₫5.000,1 Sao (2),2 Sao (0),3 Sao (0),4 Sao (3),5 Sao (88),Có Bình luận (28),Có hình ảnh / video (27),12 tháng trước,"2,6k",86,"4,3k",klhstore.official,71%,trong vài giờ
Sạc,5.0,Đã thích (18),5.0,173,"Tai Nghe Cổng Lightning chân dẹp, Giành Cho ip7 đến 12proMax (Hiển Thị Cửa Sổ Tự Kết Nối Bluetooth) bảo hành đổi trả",₫49.000 - ₫89.000,1 Sao (0),2 Sao (0),3 Sao (0),4 Sao (0),5 Sao (62),Có Bình luận (33),Có hình ảnh / video (32),17 tháng trước,"9,1k",196,"4,2k",phukien10268,100%,trong vài giờ
Sạc,4.9,Đã thích (12),4.9,205,Pin máy đọc mã vạch Symbol Motorola Zebra LS4278 LI4278 DS6878SR STB4278SR,₫200.000,1 Sao (0),2 Sao (0),3 Sao (0),4 Sao (2),5 Sao (20),Có Bình luận (8),Có hình ảnh / video (4),4 năm trước,643,"1,2k","2,2k",shopmengan,58%,trong vài giờ
Sạc,5.0,Đã thích (24),5.0,367,Giá đỡ điện thoại hình hoạt hình 3D xinh xắn dễ thương,₫5.200 - ₫9.818,1 Sao (0),2 Sao (0),3 Sao (0),4 Sao (0),5 Sao (89),Có Bình luận (37),Có hình ảnh / video (37),36 tháng trước,"16,5k",1k,30k,fashionfindings.vn,93%,trong vài giờ
Sạc,4.8,Đã thích (188),4.8,"6,3k",Dây quấn cáp điện thoại 2 màu Bảo vệ,,1 Sao (8),2 Sao (0),3 Sao (15),4 Sao (16),5 Sao (388),Có Bình luận (116),Có hình ảnh / video (33),6 năm trước,"71,6k","1,7k",152k,nlvshop2016,94%,trong vài giờ
