category,avg_rating,n_loved,n_reviews,n_sold,name,price,rate_1,rate_2,rate_3,rate_4,rate_5,rate_with_cmt,rate_with_imgvid,shop_age,shop_follower,shop_n_product,shop_n_review,shop_name,shop_rate_feedback,shop_time_feedback
Thẻ nhớ,4.7,Đã thích (28),4.7,939,Thẻ Nhớ Yoosee 32Gb Tốc Độ Cao,₫77.900,,,,,,,,27 tháng trước,"7,3k",205,"1,1k",giasi_vn,57%,trong vài giờ
Thẻ nhớ,5.0,Đã thích (3),5.0,7,Thẻ Nhớ TF MicroSD Class C10 128GB/64GB/32GB/16GB Chính Hãng Mingzuan- Chất lượng cao - Bảo hành 12 tháng,₫79.000 - ₫139.000,,,,,,,,6 năm trước,"85,4k",195,6k,beha1989,96%,trong vài giờ
Thẻ nhớ,5.0,Đã thích (2),5.0,17,Thẻ nhớ 64g netac,₫155.000,1 Sao (0),2 Sao (0),3 Sao (0),4 Sao (0),5 Sao (1),Có Bình luận (1),Có hình ảnh / video (0),18 tháng trước,103,203,940,ksi084gd9b,35%,trong vài giờ
Thẻ nhớ,4.3,Đã thích (7),4.3,28,Real capacity Thẻ Nhớ Micro SDXC EVO Dung Lượng 512GB Tốc Độ 100mb/Giây (U3) Good Quality,₫204.500,1 Sao (1),2 Sao (0),3 Sao (0),4 Sao (0),5 Sao (5),Có Bình luận (5),Có hình ảnh / video (0),3 năm trước,"9,3k",113,"17,1k",susiom.vn,31%,trong vài giờ
Thẻ nhớ,5.0,Đã thích (1),5.0,25,Thẻ Nhớ Micro Sd Cho Psp,₫32.999,1 Sao (0),2 Sao (0),3 Sao (0),4 Sao (0),5 Sao (4),Có Bình luận (2),Có hình ảnh / video (1),21 tháng trước,275,"4,7k","1,2k",inthehot.vn,85%,trong vài giờ
Thẻ nhớ,5.0,,5.0,4,"Thẻ Nhớ Lexar 32Gb,Lexar 64Gb, Lexar 128b ,Lexar 256Gb Class 10 tốc độ 100Mb/s Thẻ Nhớ Camera- Hàng Chính Hãng",₫129.000 - ₫639.000,1 Sao (0),2 Sao (0),3 Sao (0),4 Sao (0),5 Sao (3),Có Bình luận (2),Có hình ảnh / video (1),7 tháng trước,32,41,19,camera.wifi.chinhhang,99%,trong vài giờ
Thẻ nhớ,4.8,Đã thích (1),4.8,22,[Mã 11ELSALE hoàn 7% đơn 300K] Camera IP YooSee 3 Ăng ten thu sóng WIFI cực khỏe - Kèm Thẻ Nhớ 32G - BẢO HÀNH 12 THÁNG,₫399.000,1 Sao (0),2 Sao (0),3 Sao (0),4 Sao (1),5 Sao (4),Có Bình luận (0),Có hình ảnh / video (0),4 năm trước,"9,9k",227,"5,3k",khacduongcn,2%,trong vài giờ
Thẻ nhớ,5.0,Đã thích (10),5.0,13,Thẻ nhớ MicroSDHC Samsung EVO Plus 32GB 95MB/s - THẺ CHUẨN HÃNG - BẢO HÀNH 10 NĂM,₫200.000,1 Sao (0),2 Sao (0),3 Sao (0),4 Sao (0),5 Sao (5),Có Bình luận (4),Có hình ảnh / video (1),4 năm trước,204,128,539,autocap.top,92%,trong vài giờ
Thẻ nhớ,5.0,,5.0,12,Thẻ nhớ lưu trữ HIKVISION 64GB C1 Upto 92MB/S Chuyên Dụng Cho Camera IP - BH60T Chính Hãng,₫95.000 - ₫190.000,1 Sao (0),2 Sao (0),3 Sao (0),4 Sao (0),5 Sao (2),Có Bình luận (1),Có hình ảnh / video (1),5 năm trước,"1,1k",264,"2,5k",duongphongcomputer,95%,trong vài giờ
Thẻ nhớ,5.0,Đã thích (66),5.0,9,Thẻ nhớ SanDisk 32GB Mirco SD Ultra Class 10 80Mb/s – Bảo hành chính hang 5 năm,₫149.000,1 Sao (0),2 Sao (0),3 Sao (0),4 Sao (0),5 Sao (5),Có Bình luận (2),Có hình ảnh / video (0),4 năm trước,338,268,299,508shop,95%,trong vài giờ
Thẻ nhớ,4.6,Đã thích (7),4.6,24,Đầu đọc thẻ nhớ mini USB 2.0 micro SD TF,₫11.400,,,,,,,,3 năm trước,1k,793,"1,5k",venicenight.vn,57%,trong vài giờ
Thẻ nhớ,5.0,,5.0,4,Thẻ nhớ MicroSD KIOXIA 32G/64G class 10 tặng đầu đọc USB,₫125.000 - ₫165.000,1 Sao (0),2 Sao (0),3 Sao (0),4 Sao (0),5 Sao (1),Có Bình luận (1),Có hình ảnh / video (1),27 tháng trước,69,207,171,dientuvanminh,76%,trong vài giờ
Thẻ nhớ,5.0,,5.0,7,Thẻ nhớ 4GB,₫55.000,1 Sao (0),2 Sao (0),3 Sao (0),4 Sao (0),5 Sao (3),Có Bình luận (1),Có hình ảnh / video (1),3 năm trước,"2,9k",776,"12,5k",dientudaiphat.vn,72%,trong vài giờ
