category,avg_rating,n_loved,n_reviews,n_sold,name,price,rate_1,rate_2,rate_3,rate_4,rate_5,rate_with_cmt,rate_with_imgvid,shop_age,shop_follower,shop_n_product,shop_n_review,shop_name,shop_rate_feedback,shop_time_feedback
Trang trí và giá đỡ,5.0,Đã thích (130),5.0,965,REMOTE BLUETOOTH CHỤP HÌNH TỪ XA TẶNG 2 CỤC PIN - MrPhuKien,₫25.000,,,,,,,,,,,,,,
Trang trí và giá đỡ,5.0,Đã thích (166),5.0,591,Móc khóa điện thoại hình trái tim xinh xắn làm bằng tay,₫6.000,,,,,,,,,,,,,,
Trang trí và giá đỡ,4.5,Đã thích (20),4.5,267,"Chân đế gắn tường cho Camera Dome - hộp kỹ thuật bảo vệ nguồn, chống nước",₫8.000 - ₫14.000,,,,,,,,31 tháng trước,"3,5k",113,959,onvizcam_official_store,85%,trong vài giờ
Trang trí và giá đỡ,5.0,"Đã thích (1,3k)",5.0,347,Dây đeo Hoa Cúc Hottrend Gắn Điện Thoại/ Đeo Cổ Tay/Túi xách/Chía khóa - H Case,₫4.000,1 Sao (0),2 Sao (0),3 Sao (0),4 Sao (0),5 Sao (104),Có Bình luận (25),Có hình ảnh / video (25),16 tháng trước,"28,8k",138,"25,8k",phukien_hcase,87%,trong vài giờ
Trang trí và giá đỡ,4.8,Đã thích (143),4.8,841,[giá tốt] Chân Kẹp Điện Thoại - Ipad Xoay 360 độ (Hàng xịn),₫99.000,1 Sao (3),2 Sao (3),3 Sao (7),4 Sao (24),5 Sao (294),Có Bình luận (138),Có hình ảnh / video (100),4 năm trước,"8,9k","1,1k","45,3k",thietbitienichsg,96%,trong vài giờ
Trang trí và giá đỡ,4.8,Đã thích (595),4.8,221,Giá đỡ điện thoại thu gọn được đa năng tiện lợi,₫26.200 - ₫91.000,,,,,,,,5 tháng trước,"2,9k",116,666,trangchu.vn,48%,trong vài giờ
Trang trí và giá đỡ,5.0,Đã thích (51),5.0,608,🔥 GIÁ SỈ 🔥 [chọn mẫu] GIÁ ĐỠ SILICON ĐIỆN THOẠI HÌNH THÚ bracket silicon,₫4.488 - ₫4.992,1 Sao (0),2 Sao (0),3 Sao (1),4 Sao (2),5 Sao (167),Có Bình luận (44),Có hình ảnh / video (36),3 năm trước,"15,9k",611,"36,7k",binhkk90,98%,trong vài giờ
Trang trí và giá đỡ,4.9,Đã thích (18),4.9,"1,3k",Giá Đỡ Ngẫu Nhiên Chống Lưng Cho Phụ Kiện Pop Điện Thoại Tai Nghe Bluetooth Airpod Airpods i12 Iphone Pin Dự Phòng,₫12.800,1 Sao (3),2 Sao (1),3 Sao (6),4 Sao (12),5 Sao (548),Có Bình luận (116),Có hình ảnh / video (109),6 năm trước,"8,8k","1,1k","19,6k",trangtastore,86%,trong vài giờ
Trang trí và giá đỡ,4.8,"Đã thích (1,1k)",4.8,"1,9k","Chân giá đỡ điện thoại, máy ảnh Tripod 3366 cao 150cm có tay cầm cực chắc chắn",₫169.000 - ₫189.000,,,,,,,,36 tháng trước,"16,1k","2,1k","23,5k",linhkien_at,74%,trong vài giờ
Trang trí và giá đỡ,4.7,Đã thích (53),4.7,372," Kệ Để Điện Thoại, Ipad Hình Gấu, Giá Để Điện Thoại Ipad Có Thể Gấp Gọn",₫29.000,1 Sao (2),2 Sao (2),3 Sao (9),4 Sao (4),5 Sao (102),Có Bình luận (53),Có hình ảnh / video (47),4 năm trước,"61,1k",450,"67,3k",lynkconuong1402,83%,trong vài giờ
