category,avg_rating,n_loved,n_reviews,n_sold,name,price,rate_1,rate_2,rate_3,rate_4,rate_5,rate_with_cmt,rate_with_imgvid,shop_age,shop_follower,shop_n_product,shop_n_review,shop_name,shop_rate_feedback,shop_time_feedback
Ti vi,,,,,,,,,,,,,,,,,,,,
Ti vi,,,,,,,,,,,,,,,,,,,,
Ti vi,4.9,Đã thích (3),4.9,55,Remote điều khiển tivi TCL smart RC200,₫55.900,,,,,,,,,,,,,,
Ti vi,,,,,,,,,,,,,,,,,,,,
Ti vi,5.0,Đã thích (3),5.0,47,ĐIỀU KHIỂN ĐIỀU HÒA ĐA NĂNG CHUNGHOP.K-1028E (HÀNG CHÍNH HÃNG),,,,,,,,,,,,,,,
Ti vi,,,,,,,,,,,,,,,,,,,,
Ti vi,,,,,,,,,,,,,,,,,,,,
Ti vi,4.6,"Đã thích (1,2k)",4.6,86,Phát wifi 4G cắm điện Huawei B311( kèm anten),₫990.000 - ₫1.350.000,1 Sao (1),2 Sao (0),3 Sao (0),4 Sao (0),5 Sao (8),Có Bình luận (5),Có hình ảnh / video (4),29 tháng trước,"1,2k",25,104,sarinasol,41%,trong vài giờ
Ti vi,5.0,Đã thích (2),5.0,330,Dây Đồng trục lõi đồng lưới đồng cao cấp SDI -75 ohm,₫14.000 - ₫18.000,1 Sao (0),2 Sao (0),3 Sao (0),4 Sao (0),5 Sao (7),Có Bình luận (3),Có hình ảnh / video (1),4 năm trước,"3,4k","1,1k","8,8k",thutrangnguyen1988,89%,trong vài giờ
Ti vi,4.8,Đã thích (3),4.8,69,Chuột bay G10S tìm kiếm bằng giọng nói,,,,,,,,,22 tháng trước,964,19,387,hpdigital,71%,trong vài giờ
Ti vi,5.0,,5.0,69,Set 10 loa 20x20mm âm thanh chất lượng cao ,₫36.000,1 Sao (0),2 Sao (0),3 Sao (0),4 Sao (0),5 Sao (4),Có Bình luận (1),Có hình ảnh / video (1),21 tháng trước,764,5k,"1,2k",koolsoo2.vn,100%,trong vài giờ
Ti vi,4.9,Đã thích (7),4.9,138,Remote máy lạnh GREE mẫu 4 - Điều khiển điều hòa GREE mẫu 4,₫59.900,1 Sao (1),2 Sao (0),3 Sao (0),4 Sao (0),5 Sao (28),Có Bình luận (15),Có hình ảnh / video (7),4 năm trước,"2,2k",574,"21,9k",tunggiang1985,87%,trong vài giờ
Ti vi,4.9,Đã thích (23),4.9,103,Giá treo màn hình máy tính CY01 14 - 17 - 19 - 23 - 27 - 29 - 32 inch - 100% Hợp kim nhôm - Giá Treo Tivi Đa Năng,₫135.000,1 Sao (0),2 Sao (0),3 Sao (1),4 Sao (1),5 Sao (24),Có Bình luận (8),Có hình ảnh / video (3),3 năm trước,842,125,"4,1k",phukientivi,96%,trong vài giờ
Ti vi,5.0,"Đã thích (1,5k)",5.0,64,Điều khiển tivi panasonic đời cũ- Hàng tốt chính hãng Panasonic Tặng kèm Pin!!!,,,,,,,,,35 tháng trước,"2,7k",575,2k,vdbinhpro,83%,trong vài giờ
